2017-03-1708:49:40 106.673039006 779.990976379 183.486023368 284.47607881 13.1632090349
2017-03-2011:02:50 123.646405185 921.792808419 220.628422366 341.032369759 21.5530216151
2017-03-2209:29:40 109.824751935 786.492139092 187.082129184 294.829583184 13.0405932422
2017-03-2709:25:40 115.431184152 849.756507911 190.475649621 302.234754536 14.1045040919
2017-03-2908:55:40 110.795726026 834.858924045 182.291035318 297.862413609 13.5145565529
2017-04-0308:31:40 123.2415845 918.753568562 197.734287615 325.433279381 15.7145421943
2017-04-0709:16:40 127.276596778 913.64981013 205.267911974 335.185312925 16.2873535798
2017-04-1309:13:40 122.35710151 844.036837987 202.510309505 337.011920244 16.4836750331
2017-04-1710:08:40 113.687771077 840.138862868 200.844626177 320.780545482 17.1112355092
2017-04-2109:18:50 138.993848211 923.869135772 238.985702747 384.629528151 22.4317363634
2017-04-2410:04:50 119.503506643 839.383602053 212.544688275 343.049898721 17.8197686792
2017-04-2909:49:50 107.087259375 738.314796427 189.421526121 303.292485175 17.7097420469
2017-05-0209:02:50 118.336951942 808.163829437 208.421084682 329.23873494 20.2363242537
2017-05-0509:44:50 116.063348993 805.051897561 205.79139339 330.348839901 15.5810091871
2017-05-0809:59:50 116.571710365 830.579690747 207.789818571 333.490224387 20.1265266812
2017-05-1208:46:50 111.448013971 787.490904231 190.501386057 311.504303554 17.761078351
2017-05-1508:49:50 118.56742346 798.92873544 193.305693354 324.463140486 18.0190023396
2017-05-1808:47:50 119.853747499 845.014119566 193.174868203 327.906828056 16.8524808863
2017-05-2010:09:50 114.665221307 821.030428865 182.141537681 318.236786919 17.365392889
2017-05-2208:51:50 117.098791281 815.688370364 182.579779426 315.138938285 13.594739515
2017-05-2409:20:50 126.265986161 875.219065159 191.294443153 329.70020195 15.636049132
2017-05-2709:20:50 120.570395256 848.962216007 188.846589342 328.723919352 15.9950581544
2017-05-3008:50:50 112.997426134 785.198795442 176.631419036 305.212976471 19.1791664489
2017-06-0519:01:50 125.137909677 844.458926877 200.800358991 343.464326147 18.8493766248
2017-06-1018:32:50 127.122745258 734.123616154 195.990751736 345.69396526 21.1272883609
2017-06-1318:28:50 119.206221534 763.378162634 193.481986418 338.743964277 20.0243457076
2017-06-1618:16:50 123.327564101 748.239491878 190.369287585 340.589147983 19.2421594785
2017-06-1918:16:50 122.399796368 763.121898963 193.328889081 351.159075942 17.505306754
2017-06-2418:16:50 122.277356904 775.574062492 193.357683001 352.146651068 22.5620497624
2017-06-2718:09:50 123.322517053 787.348557054 207.002935205 363.305342 25.5636597748
2017-07-0120:40:50 107.985781031 569.789646996 179.626527167 317.537803026 22.1244051665
2017-07-0420:40:50 123.562109959 714.40561996 222.88917846 376.649697774 28.5823396044
2017-07-0817:49:50 114.626196878 477.651616432 217.777979828 354.202722774 28.0856914003
2017-07-1117:39:50 121.290518895 542.526909931 229.687467277 378.764100093 30.7742701849
2017-07-1817:39:50 128.45823036 571.243990188 262.418902834 453.020810594 43.8736692272
2017-07-2217:29:50 130.3193483 462.315479199 294.973473968 477.394831237 63.7067365549
2017-07-2517:19:50 132.084969092 363.336705743 311.92743349 475.663515288 77.7766593699
2017-07-2917:19:50 125.308243836 356.981159616 327.555782562 462.73364143 76.0144912379
2017-08-0116:19:50 120.925671179 314.77081762 312.480021491 440.385478257 67.0862409085
2017-08-1511:57:50 124.724185445 412.449648454 319.250499121 441.454848921 52.4364593172
2017-08-1813:19:50 120.112874579 338.363435741 241.378790684 349.422132584 48.9408519056
2017-08-2113:49:50 108.28308841 412.28817079 274.265577173 380.810273446 38.7110602577
2017-08-2513:49:50 117.407612736 464.638720252 275.525287696 383.523231076 36.0785408858
2017-08-2813:49:50 116.065912326 495.521646024 270.648732503 374.28840351 30.959215182
2017-08-2913:49:50 112.49852345 514.098883332 273.865571293 369.950958333 35.4158469647
2017-09-0413:54:50 150.836326726 704.789357466 305.962772822 437.814779905 36.5009383504
2017-09-0713:49:50 126.762422688 643.62463451 269.981947586 395.438059813 29.4088750149
2017-09-1313:19:50 137.786388571 634.877045188 298.597063295 436.101995333 38.2030504599
2017-09-1616:00:50 126.255496331 565.051901451 283.640474356 410.874198583 38.8532399898
2017-09-1812:49:50 125.043117346 553.681576216 289.244387017 430.354815416 40.2967220606
2017-09-2112:49:50 125.654825539 513.602381328 293.424807501 424.223613823 46.1071765201
2017-09-2512:49:50 122.341978434 453.178045668 298.569968559 419.556471333 46.0293573569
2017-09-2812:49:50 105.127188543 362.618342918 257.951547495 364.5393562 41.8383557764
2017-10-0411:19:50 107.024988578 342.741545757 270.04582581 377.891449756 43.2738038
2017-10-0711:19:50 103.480900047 338.685766808 245.00452282 361.057038266 32.0337608427
2017-10-0911:19:50 105.195428392 376.608977008 258.304904007 362.51241128 40.6585683628
2017-10-1311:09:50 129.114452048 398.109270871 308.207813573 442.676965374 41.9455429073
2017-10-1511:04:50 116.375428385 405.598282394 285.148024899 412.545949023 39.698114987
2017-10-2111:15:50 105.371056938 355.859368809 255.312986318 367.783567837 38.1704707156
2017-10-2410:49:50 108.682549631 377.298119192 264.001798854 366.854686151 37.122259398
2017-11-0510:44:50 119.223146284 448.335539913 283.977270713 418.196981371 40.8416644428
2017-11-0709:11:50 107.553097823 382.586838687 255.027461255 376.07701314 37.1461440859
2017-11-1017:49:50 133.794779224 457.37558173 327.849196326 461.780022929 50.081995078
2017-11-1308:19:50 107.464764541 361.582992979 265.059792937 367.854428001 37.3275579923
2017-11-1717:49:50 135.225530426 486.624389086 320.501401492 442.37708005 38.8921321764
2017-12-0117:49:50 103.496107761 469.757119985 216.596913303 308.195391459 22.409751183
2017-12-0517:49:50 130.445834805 609.986243087 262.92269957 384.869692818 27.4080014231
2017-12-0917:49:50 145.984849782 677.557762589 294.478189412 429.445540635 31.4687445416
2017-12-1917:49:50 143.507033048 552.738801182 308.907129096 439.403275085 38.2971126248
2018-01-0519:52:50 120.383669213 403.976656464 271.035459755 370.172209368 33.5230369219
2018-01-0617:24:50 122.025881708 413.242967137 275.604451004 373.221863432 33.2081862618
2018-01-1015:19:50 124.28150123 443.425263132 281.687728743 376.170123038 30.4458021739
2018-01-1416:30:50 126.736697549 454.37772646 274.264726215 373.551472145 29.7233402573
2018-01-1816:56:50 126.870984199 495.625442689 268.594656721 374.354588679 27.5294684976
2018-01-2115:34:50 115.596408522 329.036530229 238.011191726 336.732481067 25.6082629864
2018-01-2514:58:50 141.302023522 557.837140017 297.44200771 412.143242556 31.819166341
2018-01-2814:58:50 122.85297338 421.792909504 249.706924677 360.418690765 29.1003028819
2018-01-3114:24:50 112.304588543 428.261916555 236.881730595 329.560015966 26.7119174071
2018-02-0313:19:50 126.495225259 465.409274728 269.410373826 363.776126719 29.3387845743
2018-02-0713:04:50 119.496146295 440.459503468 251.780858124 337.963092152 27.7433461686
2018-02-1113:18:50 111.769591768 428.275256974 234.362609257 312.298579913 22.8615390465
2018-02-1812:58:50 113.476286502 431.898876081 228.57698829 307.347450893 22.3722731109
2018-03-1111:34:50 134.971475529 551.329648276 248.501947613 329.226107915 20.8412325707
2018-03-1511:54:51 140.293875913 599.943830869 247.387531155 338.805191397 19.7839984339
2018-03-1810:39:50 141.433076566 628.920897677 244.676184452 335.762899318 20.9620269889
2018-03-2110:19:50 137.700696009 625.745809465 244.255917835 331.388233594 20.4204862398
2018-03-2510:21:00 147.158713327 636.705160565 263.19090076 365.568039532 24.8360297751
2018-03-2909:35:00 121.927946289 501.190634464 230.910347349 305.626008387 23.1881377543
2018-04-0221:39:00 100.131025939 407.623296093 190.048942127 253.130299646 18.0027087729
2018-04-0310:39:00 135.506376013 546.615173545 260.711604207 341.668288388 23.9291971884
2018-04-0321:39:00 135.042235464 538.035027757 259.458524425 339.657945489 25.290474394
2018-04-0410:39:00 134.353271732 551.360984236 258.761015084 342.223444144 23.423566394
2018-04-0421:39:00 136.779049693 567.26386047 264.560435901 349.731123538 24.2812224113
2018-04-0509:21:00 143.740082334 591.360232025 277.212327652 367.222274494 25.62107409
2018-04-0521:39:00 133.145903645 550.911663174 256.856674117 341.063240922 24.4745177313
2018-04-0621:39:00 137.147345631 550.575859859 263.465900827 347.632267889 24.6114248777
2018-04-0710:39:00 142.776238266 576.328812543 272.930049266 363.321123277 25.8406876082
2018-04-0721:39:00 133.271892697 546.039339847 256.429066049 339.731234121 24.6448960273
2018-04-0809:21:00 140.354477398 578.358398714 271.09183103 360.103118761 25.7466422159
2018-04-0821:39:00 134.760029605 551.295778354 259.633145227 340.37398646 24.5947874147
2018-04-0910:39:00 142.951866927 582.961273594 275.064614156 362.013582589 25.9871866726
2018-04-0921:39:00 136.322703427 557.122003754 263.023422337 346.046506525 24.4710611878
2018-04-1209:30:00 143.471759232 589.951690933 276.614273584 364.041926855 25.4266888797
2018-04-1221:39:00 138.556819966 573.830134253 266.996791868 351.935209556 25.3212915321
2018-04-1310:39:00 142.315196506 585.088747758 273.938080564 359.181520594 25.4005173832
2018-04-1321:39:00 133.421896428 550.779578767 259.672287484 341.621950522 23.7611886342
2018-04-1410:39:00 142.351670849 580.569438388 271.89158987 359.097125444 24.668777105
2018-04-1421:39:00 137.571748229 556.303589551 264.530287613 348.228192663 24.7410578646
2018-04-1509:30:00 143.22669648 545.574436576 275.86260705 363.774305934 25.5236167398
2018-04-1520:39:00 134.978810784 489.800491141 258.949320639 341.659035674 24.3409944376
2018-04-1610:09:00 142.919290158 544.344363171 272.708477305 363.702472978 25.3010458092
2018-04-1620:39:00 124.993510653 490.055182891 235.673034996 312.030193064 22.974456527
2018-04-1719:39:00 134.626560865 527.541501658 258.232768034 338.115701331 23.372109856
2018-04-1709:30:00 142.928095786 565.431560658 273.746610667 352.657318045 25.0838393812
2018-04-1810:14:00 143.516094774 560.381816436 272.600721478 359.685818109 25.6504139651
2018-04-1820:39:00 135.721530429 540.977118506 259.732773548 345.021108184 24.5533137838
2018-04-1920:39:00 136.864107082 500.935805913 263.587039305 356.585747452 24.7559213857
2018-04-2010:09:00 143.786011188 543.759443521 271.357894274 374.561036291 26.1107306537
2018-04-2020:39:00 138.068686761 511.445438853 258.98646682 361.82201104 25.2137862042
2018-04-2109:30:00 147.114317837 551.783846249 275.044116031 381.205772704 27.2139608069
