0.000000  6.514496 154.422160 51.426336 305.346502
0.000488  0.502794 0.498623 0.645004 0.594782
0.000977  0.510321 0.502284 0.655825 0.601506
0.001465  0.502548 0.501870 0.648359 0.595458
0.001953  0.508915 0.496599 0.651841 0.602237
0.002441  0.512264 0.503935 0.637646 0.595420
0.002930  0.506008 0.515185 0.635794 0.594344
0.003418  0.500938 0.499222 0.648253 0.602115
0.003906  0.504771 0.502734 0.655213 0.598584
0.004395  0.503841 0.501866 0.660993 0.604086
0.004883  0.503065 0.500427 0.663414 0.605525
0.005371  0.512151 0.500813 0.657970 0.602172
0.005859  0.511504 0.496689 0.637956 0.595413
0.006348  0.509193 0.503514 0.645122 0.601787
0.006836  0.503281 0.506396 0.650072 0.599146
0.007324  0.506864 0.496805 0.658116 0.595952
0.007812  0.505800 0.504684 0.656689 0.602907
0.008301  0.501224 0.503474 0.643471 0.600698
0.008789  0.506527 0.499581 0.640705 0.601139
0.009277  0.506825 0.500606 0.658594 0.594873
0.009766  0.502953 0.503646 0.651734 0.606339
0.010254  0.510147 0.500594 0.649954 0.602789
0.010742  0.508701 0.501327 0.644121 0.602183
0.011230  0.509644 0.506432 0.646739 0.600731
0.011719  0.500690 0.493410 0.638640 0.604301
0.012207  0.502680 0.504915 0.648307 0.593606
0.012695  0.501299 0.508459 0.651159 0.594483
0.013184  0.508311 0.500761 0.648189 0.597312
0.013672  0.511050 0.494984 0.643337 0.601770
0.014160  0.522405 0.502465 0.651031 0.596522
0.014648  0.506648 0.508617 0.644603 0.598696
0.015137  0.513147 0.511219 0.648640 0.604789
0.015625  0.502294 0.503414 0.649734 0.599573
0.016113  0.506638 0.491084 0.655371 0.597255
0.016602  0.513006 0.501979 0.655559 0.595715
0.017090  0.506902 0.507827 0.653628 0.595678
0.017578  0.509778 0.507801 0.649499 0.598023
0.018066  0.513336 0.512833 0.643755 0.593094
0.018555  0.510588 0.497140 0.655935 0.590268
0.019043  0.515699 0.510205 0.650541 0.603215
0.019531  0.504299 0.512157 0.666873 0.598094
0.020020  0.507680 0.508172 0.639012 0.606573
0.020508  0.503939 0.504244 0.649746 0.598217
0.020996  0.508200 0.506353 0.649057 0.601141
0.021484  0.509665 0.508686 0.648704 0.594151
0.021973  0.511096 0.510866 0.661401 0.604272
0.022461  0.509798 0.504217 0.655997 0.608332
0.022949  0.508285 0.503693 0.664174 0.603236
0.023438  0.508367 0.510706 0.658997 0.591491
0.023926  0.511189 0.506355 0.653106 0.603977
0.024414  0.511622 0.503853 0.647665 0.602451
0.024902  0.504623 0.513136 0.665212 0.605775
0.025391  0.509935 0.506256 0.671773 0.598696
0.025879  0.510091 0.499691 0.648378 0.592327
0.026367  0.509939 0.506770 0.659136 0.606165
0.026855  0.513987 0.509850 0.651712 0.602991
0.027344  0.510358 0.503772 0.667206 0.600685
0.027832  0.506175 0.509812 0.658965 0.609036
0.028320  0.520357 0.515706 0.648772 0.599897
0.028809  0.514877 0.504437 0.653761 0.598533
0.029297  0.513314 0.512463 0.659552 0.603157
0.029785  0.512610 0.511831 0.659458 0.599482
0.030273  0.508721 0.512101 0.665120 0.603106
0.030762  0.510679 0.520428 0.667191 0.601886
0.031250  0.511233 0.507537 0.662114 0.605060
0.031738  0.503087 0.511932 0.650149 0.592486
0.032227  0.509616 0.509041 0.664243 0.613224
0.032715  0.511824 0.503045 0.668244 0.600863
0.033203  0.512293 0.509555 0.659288 0.605469
0.033691  0.512368 0.505522 0.660217 0.597458
0.034180  0.514078 0.511372 0.654803 0.602660
0.034668  0.522735 0.506694 0.668711 0.601594
0.035156  0.518777 0.509753 0.658216 0.601507
0.035645  0.522102 0.508934 0.672418 0.602863
0.036133  0.524016 0.513025 0.666277 0.604345
0.036621  0.515939 0.511686 0.657391 0.608528
0.037109  0.518057 0.520944 0.669387 0.608522
0.037598  0.512648 0.513390 0.664261 0.605317
0.038086  0.522909 0.517172 0.659294 0.609515
0.038574  0.512488 0.514093 0.677150 0.605712
0.039062  0.516998 0.514011 0.667629 0.606503
0.039551  0.518092 0.517883 0.672420 0.615580
0.040039  0.521203 0.512960 0.668196 0.608571
0.040527  0.524536 0.519979 0.667779 0.598988
0.041016  0.512711 0.507486 0.674164 0.614939
0.041504  0.516047 0.514397 0.658466 0.611204
0.041992  0.521245 0.514790 0.676537 0.614319
0.042480  0.517811 0.517491 0.665237 0.611526
0.042969  0.518533 0.516332 0.671226 0.606490
0.043457  0.525667 0.517874 0.672437 0.615026
0.043945  0.519728 0.512682 0.682192 0.602853
0.044434  0.523676 0.519809 0.683124 0.599093
0.044922  0.522089 0.503253 0.666713 0.612990
0.045410  0.519771 0.511257 0.672236 0.602692
0.045898  0.524928 0.515879 0.681921 0.604863
0.046387  0.533730 0.518025 0.660576 0.606056
0.046875  0.528356 0.513975 0.674660 0.614961
0.047363  0.521831 0.512784 0.680607 0.614290
0.047852  0.520429 0.526385 0.677940 0.607534
0.048340  0.530620 0.519488 0.682137 0.614423
0.048828  0.525019 0.517360 0.680820 0.610829
0.049316  0.533205 0.519799 0.689017 0.616673
0.049805  0.523142 0.526941 0.687019 0.616526
0.050293  0.523485 0.517544 0.675356 0.615321
0.050781  0.517648 0.518849 0.682986 0.616397
0.051270  0.528584 0.525009 0.698493 0.609470
0.051758  0.520998 0.528205 0.675878 0.618525
0.052246  0.533513 0.522288 0.681070 0.615058
0.052734  0.525604 0.523985 0.692304 0.608829
0.053223  0.524997 0.523447 0.733346 0.624439
0.053711  0.526514 0.525678 0.705710 0.620768
0.054199  0.533371 0.522808 0.679655 0.618126
0.054688  0.523492 0.521292 0.689239 0.605996
0.055176  0.539665 0.517949 0.687251 0.610394
0.055664  0.533969 0.531125 0.699430 0.608596
0.056152  0.538792 0.523045 0.692427 0.621616
0.056641  0.531203 0.523423 0.682978 0.616094
0.057129  0.534100 0.525517 0.691403 0.611319
0.057617  0.534110 0.527806 0.690672 0.621414
0.058105  0.539236 0.529684 0.961499 0.651745
0.058594  0.534997 0.531235 0.689937 0.612597
0.059082  0.521385 0.528655 0.688000 0.612823
0.059570  0.544006 0.530627 0.686828 0.624060
0.060059  0.530163 0.526548 0.698560 0.612241
0.060547  0.536649 0.536516 0.706171 0.612561
0.061035  0.540281 0.532817 0.700299 0.624537
0.061523  0.540641 0.532824 0.693300 0.617749
0.062012  0.537129 0.532331 0.708118 0.623656
0.062500  0.536821 0.538536 0.686973 0.618638
0.062988  0.536457 0.534322 0.701546 0.626334
0.063477  0.542110 0.535760 0.690709 0.615056
0.063965  0.547747 0.530880 0.691168 0.613696
0.064453  0.544999 0.538836 0.695855 0.624285
0.064941  0.538863 0.524353 0.692624 0.618008
0.065430  0.537081 0.530419 0.704748 0.620813
0.065918  0.538897 0.523420 0.707191 0.629085
0.066406  0.542409 0.535186 0.703353 0.621082
0.066895  0.543450 0.536450 0.702344 0.628205
0.067383  0.547876 0.531750 0.692098 0.619467
0.067871  0.544223 0.539565 0.704572 0.624450
0.068359  0.543924 0.538452 0.689249 0.624129
0.068848  0.539391 0.541101 0.699757 0.619608
0.069336  0.547969 0.534802 0.705142 0.623444
0.069824  0.546676 0.537322 0.703282 0.624196
0.070312  0.538451 0.532760 0.703146 0.625244
0.070801  0.540075 0.538105 0.711647 0.623211
0.071289  0.538740 0.541670 0.706518 0.617011
0.071777  0.548737 0.545394 0.714114 0.624079
0.072266  0.548273 0.533153 0.710833 0.617114
0.072754  0.554542 0.536789 0.715195 0.621649
0.073242  0.542467 0.539675 0.714156 0.622859
0.073730  0.553458 0.540621 0.705419 0.621658
0.074219  0.552227 0.550646 0.710543 0.631404
0.074707  0.553876 0.549352 0.712823 0.633311
0.075195  0.543352 0.549617 0.721319 0.632251
0.075684  0.549989 0.542657 0.717451 0.625164
0.076172  0.544640 0.553296 0.724426 0.631936
0.076660  0.555513 0.548173 0.720043 0.632988
0.077148  0.552126 0.545711 0.704348 0.626767
0.077637  0.555534 0.548645 0.728406 0.623223
