name,vmin,vmax
afgl5142,-5,10
afgl6366,5,15
cepa,-10,5
ec53,,
g107p3,-25,0
g111p26,-45,-35
g173p48,-20,0
g174p20,-5,10
g22p357,75,85
g25p65,35,45
g30p99,,
g32p745,25,45
g33p64,55,65
g34p403,50,70
g35p20,35,50
g36p7,45,70
g37p479,45,70
g37p55,75,95
g43p79,35,50
g49p04,30,45
g75p78,-10,5
g78p12,-15,0
g90p92,-75,-65
l1206,-20,0
ngc281,-40,-20
ngc7538,-65,-45
on1,-5,20
s252,5,15
s255,0,10
v645,-50,-35
w3oh,-30,-50
w3oh35,,
w49n,5,25
w51,45,65
w75n,0,12.5
