0.000000  7.494515 122.490025 58.596315 250.714338
0.000488  0.496679 0.498247 0.649411 0.601783
0.000977  0.499693 0.498144 0.648577 0.607456
0.001465  0.494662 0.494901 0.648553 0.609094
0.001953  0.497484 0.497657 0.648444 0.603196
0.002441  0.499206 0.498050 0.664133 0.610112
0.002930  0.503869 0.497780 0.656287 0.604442
0.003418  0.496399 0.493351 0.657516 0.603185
0.003906  0.497436 0.494368 0.644848 0.601550
0.004395  0.496943 0.498190 0.660092 0.607927
0.004883  0.493499 0.498743 0.649380 0.599607
0.005371  0.502494 0.499147 0.647109 0.599912
0.005859  0.492588 0.497000 0.651009 0.605832
0.006348  0.492430 0.495736 0.655035 0.605760
0.006836  0.498874 0.494534 0.652222 0.604533
0.007324  0.496893 0.500276 0.648730 0.605701
0.007812  0.496818 0.495754 0.644654 0.600124
0.008301  0.496421 0.498125 0.661384 0.600752
0.008789  0.501015 0.495551 0.657044 0.604887
0.009277  0.495769 0.501006 0.647786 0.607733
0.009766  0.499943 0.495473 0.654478 0.603647
0.010254  0.501347 0.494862 0.653347 0.600564
0.010742  0.501290 0.500018 0.643617 0.592011
0.011230  0.497598 0.500098 0.652334 0.604644
0.011719  0.498224 0.499922 0.650286 0.602950
0.012207  0.505768 0.501135 0.654739 0.602081
0.012695  0.505013 0.500401 0.657529 0.605059
0.013184  0.497253 0.501226 0.651978 0.596685
0.013672  0.497984 0.498367 0.656498 0.607676
0.014160  0.495895 0.501655 0.651408 0.605773
0.014648  0.495746 0.498025 0.652928 0.598694
0.015137  0.499427 0.497966 0.650851 0.601113
0.015625  0.496559 0.496704 0.647590 0.601202
0.016113  0.498010 0.492972 0.655868 0.609953
0.016602  0.497850 0.496317 0.651548 0.598585
0.017090  0.498203 0.504932 0.655066 0.603053
0.017578  0.499002 0.500600 0.650578 0.606351
0.018066  0.494396 0.502636 0.655683 0.604870
0.018555  0.505897 0.498042 0.666099 0.605629
0.019043  0.492739 0.503781 0.656690 0.602987
0.019531  0.502862 0.504072 0.654902 0.603228
0.020020  0.497963 0.501567 0.657672 0.613936
0.020508  0.503582 0.500931 0.655326 0.606550
0.020996  0.500868 0.499421 0.658460 0.602274
0.021484  0.502865 0.503318 0.656186 0.605820
0.021973  0.504886 0.501862 0.658872 0.608713
0.022461  0.500916 0.499967 0.659961 0.607841
0.022949  0.501914 0.505370 0.656911 0.605802
0.023438  0.500698 0.504205 0.658789 0.608708
0.023926  0.499422 0.500553 0.658715 0.606180
0.024414  0.501981 0.495317 0.655210 0.605263
0.024902  0.504536 0.493835 0.660351 0.602432
0.025391  0.499228 0.503911 0.674162 0.603065
0.025879  0.507357 0.497794 0.659889 0.601762
0.026367  0.500881 0.502626 0.668814 0.600322
0.026855  0.499277 0.502741 0.660553 0.606339
0.027344  0.506598 0.499579 0.660860 0.605224
0.027832  0.501814 0.509912 0.658795 0.608041
0.028320  0.508212 0.509488 0.657940 0.606215
0.028809  0.502745 0.506316 0.665314 0.606912
0.029297  0.508240 0.505413 0.663027 0.603038
0.029785  0.504320 0.501571 0.669438 0.612075
0.030273  0.501429 0.501332 0.664621 0.604975
0.030762  0.508530 0.507187 0.662542 0.603717
0.031250  0.504123 0.501152 0.666620 0.612215
0.031738  0.503532 0.508936 0.672051 0.609983
0.032227  0.508971 0.501638 0.663551 0.606993
0.032715  0.508200 0.501776 0.656416 0.611067
0.033203  0.504832 0.505365 0.667463 0.607319
0.033691  0.506211 0.503874 0.665284 0.613178
0.034180  0.502489 0.505853 0.667795 0.607885
0.034668  0.497619 0.499934 0.670677 0.610987
0.035156  0.508118 0.508979 0.667799 0.608252
0.035645  0.511416 0.510881 0.665869 0.606108
0.036133  0.500493 0.508098 0.676475 0.609462
0.036621  0.503458 0.502930 0.670860 0.606832
0.037109  0.508781 0.510746 0.672822 0.619928
0.037598  0.507647 0.500034 0.672058 0.617041
0.038086  0.506772 0.514291 0.673240 0.613869
0.038574  0.507181 0.506094 0.660067 0.607841
0.039062  0.510289 0.500037 0.666306 0.611010
0.039551  0.506140 0.507361 0.678473 0.608953
0.040039  0.508604 0.509411 0.673549 0.606791
0.040527  0.511633 0.510469 0.668642 0.612343
0.041016  0.510095 0.512184 0.671973 0.609379
0.041504  0.507806 0.516327 0.676260 0.611684
0.041992  0.512497 0.510518 0.675873 0.614021
0.042480  0.515206 0.514318 0.670714 0.609004
0.042969  0.507717 0.516791 0.673573 0.612490
0.043457  0.508637 0.511653 0.670802 0.616664
0.043945  0.506478 0.509482 0.676015 0.611291
0.044434  0.509774 0.514044 0.673907 0.619418
0.044922  0.514131 0.507370 0.673326 0.610164
0.045410  0.517004 0.512644 0.673394 0.609736
0.045898  0.511624 0.509705 0.673202 0.615096
0.046387  0.509353 0.508299 0.682610 0.617279
0.046875  0.514170 0.513993 0.681732 0.612220
0.047363  0.519426 0.513109 0.680954 0.616179
0.047852  0.515715 0.509760 0.677523 0.610904
0.048340  0.511481 0.517671 0.669559 0.615675
0.048828  0.520881 0.515028 0.675549 0.616255
0.049316  0.510445 0.516197 0.671498 0.610645
0.049805  0.515411 0.515489 0.680529 0.612156
0.050293  0.515032 0.513634 0.677507 0.617186
0.050781  0.513926 0.508433 0.683273 0.615516
0.051270  0.517520 0.518168 0.682963 0.617981
0.051758  0.518601 0.514056 0.679222 0.620413
0.052246  0.516381 0.515585 0.686015 0.613459
0.052734  0.514543 0.515954 0.686777 0.618295
0.053223  0.517783 0.517793 0.684401 0.622127
0.053711  0.514999 0.520881 0.716018 0.619333
0.054199  0.519808 0.512861 0.686821 0.618617
0.054688  0.520142 0.513973 0.680610 0.620937
0.055176  0.512389 0.518890 0.685996 0.613467
0.055664  0.522868 0.520574 0.682374 0.620680
0.056152  0.517622 0.526503 0.687563 0.614307
0.056641  0.531575 0.521891 0.683607 0.616921
0.057129  0.519262 0.523048 0.698501 0.620481
0.057617  0.524650 0.518946 0.723264 0.629641
0.058105  0.523965 0.516861 0.779076 0.635045
0.058594  0.523046 0.525117 0.701170 0.622377
0.059082  0.522702 0.525935 0.692657 0.621498
0.059570  0.524885 0.519788 0.695660 0.621876
0.060059  0.527333 0.521848 0.699623 0.620583
0.060547  0.528198 0.522505 0.689405 0.618382
0.061035  0.524086 0.525352 0.692882 0.619299
0.061523  0.532020 0.524301 0.697163 0.622719
0.062012  0.524338 0.521980 0.688364 0.621711
0.062500  0.526542 0.527681 0.703783 0.626906
0.062988  0.525285 0.532057 0.695364 0.626042
0.063477  0.531590 0.530174 0.690296 0.623971
0.063965  0.527823 0.523008 0.691752 0.624563
0.064453  0.530534 0.526664 0.698011 0.629263
0.064941  0.525645 0.525555 0.697539 0.623199
0.065430  0.529342 0.525541 0.694971 0.623161
0.065918  0.532804 0.526489 0.691183 0.619655
0.066406  0.533587 0.529642 0.697529 0.623152
0.066895  0.530367 0.530404 0.700119 0.620358
0.067383  0.532358 0.531971 0.694664 0.629328
0.067871  0.526730 0.534057 0.699975 0.626211
0.068359  0.536873 0.531067 0.694540 0.622018
0.068848  0.529968 0.528896 0.696171 0.630008
0.069336  0.538325 0.532603 0.699756 0.627627
0.069824  0.533717 0.532761 0.695354 0.630432
0.070312  0.530723 0.531283 0.706619 0.624342
0.070801  0.533307 0.540957 0.704301 0.629163
0.071289  0.540050 0.539177 0.700780 0.627742
0.071777  0.541131 0.540000 0.705024 0.628124
0.072266  0.541099 0.530420 0.709731 0.626878
0.072754  0.536322 0.539445 0.709188 0.626466
0.073242  0.532842 0.535055 0.701351 0.632236
0.073730  0.535515 0.541693 0.704068 0.630599
0.074219  0.543666 0.536377 0.703856 0.631642
0.074707  0.542662 0.539138 0.711775 0.632491
0.075195  0.539922 0.539630 0.714414 0.629993
0.075684  0.539758 0.543700 0.712584 0.632196
0.076172  0.540298 0.537949 0.706812 0.624515
0.076660  0.544408 0.537031 0.719229 0.643166
0.077148  0.540109 0.542377 0.707834 0.629905
0.077637  0.543564 0.537219 0.704988 0.631156
0.078125  0.538856 0.546088 0.712829 0.633632
0.078613  0.546907 0.545192 0.711589 0.640076
0.079102  0.544317 0.543738 0.716036 0.634024
0.079590  0.542010 0.541692 0.723862 0.638580
0.080078  0.538076 0.544761 0.718373 0.638780
0.080566  0.544036 0.545662 0.717584 0.638886
0.081055  0.548820 0.547247 0.716262 0.636872
0.081543  0.545213 0.544365 0.726182 0.636467
0.082031  0.546486 0.549301 0.734866 0.632797
0.082520  0.548739 0.547428 0.766214 0.645576
0.083008  0.550134 0.542676 1.111225 0.638758
0.083496  0.553947 0.548543 1.066223 0.644830
0.083984  0.554430 0.550991 0.774388 0.638999
0.084473  0.551142 0.544893 0.743544 0.636502
0.084961  0.545604 0.551949 0.724461 0.637154
0.085449  0.552110 0.555652 0.722929 0.644263
0.085938  0.551086 0.545220 0.730282 0.639430
0.086426  0.553120 0.547992 0.733037 0.643352
0.086914  0.551638 0.550438 0.719904 0.640368
0.087402  0.559076 0.549141 0.728845 0.654491
0.087891  0.554333 0.547919 0.735942 0.656791
0.088379  0.553215 0.560928 0.728408 0.646865
0.088867  0.551273 0.555289 0.719798 0.644368
0.089355  0.550636 0.551534 0.734510 0.642479
0.089844  0.558472 0.558224 0.725077 0.642124
0.090332  0.554961 0.554709 0.727915 0.647463
0.090820  0.549759 0.554606 0.735578 0.642342
0.091309  0.557485 0.557689 0.725024 0.646107
0.091797  0.560169 0.560033 0.726693 0.640175
0.092285  0.558232 0.558984 0.724511 0.643686
